Test Number,Heuristic,Execution Time [ms],Closed States,Open States,Path Length,Path
26,ManhattanHeuristic,17,13,13,36,"URULRUDLRDLRDRUDRUDLRUDLULULRUDLRDLR"
26,MisplacedTilesHeuristic,16,18,16,85,"URULRUDLRDLRDRUDRUDLRUDLULULRUDLRDLRURULRUDLRDLRUDRDRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
27,ManhattanHeuristic,51,11,10,29,"DLUDLULULRUDLRDLRDRUDRUDLRDLR"
27,MisplacedTilesHeuristic,9,13,11,63,"DLUDLULULRUDLRDLRDRUDRUDLRDLRDLUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
28,ManhattanHeuristic,5,5,5,12,"ULUDLUDLRDLR"
28,MisplacedTilesHeuristic,7,5,5,24,"ULUDLUDLRDLRULUDLUDLRDLR"
29,ManhattanHeuristic,7,11,10,29,"DLDLRDRUDRUDLRUDLULULRUDLRUDR"
29,MisplacedTilesHeuristic,11,11,10,58,"DLDLRDRUDRUDLRUDLULULRUDLRUDRDLDLRDRUDRUDLRUDLULULRUDLRUDR"
30,ManhattanHeuristic,8,11,12,31,"UDLRDLRDRUDRUDLRUDLULULRUDLRDLR"
30,MisplacedTilesHeuristic,8,16,15,75,"UDLRDLRDRUDRUDLRUDLULULRUDLRDLRUDLRDLRUDRDRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
31,ManhattanHeuristic,8,9,9,24,"UDLRUDRDRULRULUDLUDLRUDR"
31,MisplacedTilesHeuristic,7,10,10,51,"UDLRUDRDRULRULUDLUDLRUDRUDLRUDRDRDLRULRULUDLUDLRUDR"
32,ManhattanHeuristic,8,3,4,7,"UDLRUDR"
32,MisplacedTilesHeuristic,7,3,4,14,"UDLRUDRUDLRUDR"
33,ManhattanHeuristic,7,10,10,27,"DRUDRDLRUDLRULRULUDLUDLRUDR"
33,MisplacedTilesHeuristic,7,10,10,54,"DRUDRDLRUDLRULRULUDLUDLRUDRDRUDRDLRUDLRULRULUDLUDLRUDR"
34,ManhattanHeuristic,15,9,9,24,"UDLRUDRDRULRULUDLUDLRUDR"
34,MisplacedTilesHeuristic,10,10,10,51,"UDLRUDRDRULRULUDLUDLRUDRUDLRUDRDRDLRULRULUDLUDLRUDR"
35,ManhattanHeuristic,10,5,5,12,"ULUDLUDLRDLR"
35,MisplacedTilesHeuristic,7,5,5,24,"ULUDLUDLRDLRULUDLUDLRDLR"
36,ManhattanHeuristic,8,7,8,19,"UDLRUDLULULRUDLRDLR"
36,MisplacedTilesHeuristic,7,11,12,50,"UDLRUDLULULRUDLRDLRUDLRDLRDRUDRUDLRUDLULULRUDLRUDR"
37,ManhattanHeuristic,11,7,6,17,"DLUDLULULRUDLRUDR"
37,MisplacedTilesHeuristic,7,7,6,34,"DLUDLULULRUDLRUDRDLUDLULULRUDLRUDR"
38,ManhattanHeuristic,7,5,5,12,"ULULRUDLRUDR"
38,MisplacedTilesHeuristic,11,5,5,24,"ULULRUDLRUDRULULRUDLRUDR"
39,ManhattanHeuristic,7,11,12,31,"UDLRDLRDRUDRUDLRUDLULULRUDLRDLR"
39,MisplacedTilesHeuristic,8,16,15,75,"UDLRDLRDRUDRUDLRUDLULULRUDLRDLRUDLRDLRUDRDRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
40,ManhattanHeuristic,8,13,13,36,"DLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRDLR"
40,MisplacedTilesHeuristic,7,18,16,85,"DLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRDLRDLUDLUDLRDLRUDRDRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
41,ManhattanHeuristic,12,5,5,12,"ULULRUDLRUDR"
41,MisplacedTilesHeuristic,20,5,5,24,"ULULRUDLRUDRULULRUDLRUDR"
42,ManhattanHeuristic,12,7,8,19,"UDLRULRULUDLUDLRDLR"
42,MisplacedTilesHeuristic,8,11,12,50,"UDLRULRULUDLUDLRDLRUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
43,ManhattanHeuristic,7,5,5,12,"DRUDRUDLRDLR"
43,MisplacedTilesHeuristic,8,5,5,24,"DRUDRUDLRDLRDRUDRUDLRDLR"
44,ManhattanHeuristic,8,11,10,29,"DRDLRUDLRUDRDRUDLULULRUDLRUDR"
44,MisplacedTilesHeuristic,5,16,15,73,"DRDLRUDLRUDRDRUDLULULRUDLRUDRDRUDRUDLRDLRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
45,ManhattanHeuristic,8,13,11,34,"URUDRDRDLRUDLRUDRDRULRULUDLUDLRUDR"
45,MisplacedTilesHeuristic,9,17,15,80,"URUDRDRDLRUDLRUDRDRULRULUDLUDLRUDRURUDRDRUDLRDLRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
46,ManhattanHeuristic,11,7,8,19,"UDLRDLRDRUDRUDLRDLR"
