timestamp_ms,magX
1732152275884,32.378799
1732152275921,32.098198
1732152275964,32.085999
1732152276012,31.9884
1732152276060,32.2934
1732152276098,31.951799
1732152276141,31.854198
1732152276187,32.500801
1732152276233,32.195801
1732152276269,32.5252
1732152276314,32.5984
1732152276358,32.4398
1732152276401,31.5858
1732152276444,31.890799
1732152276485,33.013199
1732152276530,31.781
1732152276569,32.403198
1732152276607,31.9884
1732152276648,32.183598
1732152276693,32.195801
1732152276735,32.500801
1732152276775,32.793598
1732152276824,32.2812
1732152276873,32.012798
1732152276918,32.500801
1732152276956,32.708199
1732152276996,32.305599
1732152277035,32.5984
1732152277076,32.2934
1732152277116,32.500801
1732152277152,32.2202
1732152277189,33.123001
1732152277229,32.098198
1732152277272,32.732601
1732152277322,31.781
1732152277359,33.013199
1732152277401,32.317799
1732152277440,32.720398
1732152277479,32.000599
1732152277524,32.390999
1732152277564,33.257198
1732152277605,32.647198
1732152277651,33.037598
1732152277700,32.5252
1732152277741,32.744801
1732152277780,32.415398
1732152277814,32.5984
1732152277859,32.390999
1732152277899,32.012798
1732152277943,32.110401
1732152277990,32.208
1732152278039,32.110401
1732152278080,32.5252
1732152278115,32.720398
1732152278163,32.073799
1732152278208,32.5984
1732152278242,33.440201
1732152278285,33.2206
1732152278328,32.5252
1732152278374,32.329998
1732152278418,32.818001
1732152278465,32.744801
1732152278508,32.098198
1732152278542,32.122601
1732152278585,32.939999
1732152278623,32.647198
1732152278661,33.049801
1732152278699,32.146999
1732152278747,32.659401
1732152278784,31.903
1732152278829,32.085999
1732152278878,32.146999
1732152278915,32.342201
1732152278956,32.8424
1732152279006,32.195801
1732152279048,32.573997
1732152279092,32.720398
1732152279138,33.049801
1732152279177,32.024998
1732152279214,32.647198
1732152279252,32.647198
1732152279298,32.537399
1732152279348,33.049801
1732152279387,32.208
1732152279429,32.744801
1732152279474,33.3792
1732152279517,32.9888
1732152279562,32.549599
1732152279599,33.1474
1732152279635,33.171799
1732152279681,33.867199
1732152279717,33.806198
1732152279765,34.281998
1732152279801,34.342999
1732152279841,35.233601
1732152279879,35.770401
1732152279921,36.294998
1732152279959,37.771198
1732152279997,37.075798
1732152280036,37.685799
1732152280082,38.100597
1732152280128,37.868801
1732152280172,39.1376
1732152280218,39.040001
1732152280259,39.649998
1732152280294,40.674801
1732152280331,41.016399
1732152280380,41.541
1732152280419,42.7122
1732152280469,43.4198
1732152280518,43.6516
1732152280556,44.176201
1732152280603,45.005798
1732152280649,45.640198
1732152280695,45.566998
1732152280734,45.5182
1732152280771,47.262798
1732152280805,47.0798
1732152280840,47.4702
1732152280887,48.189999
1732152280927,48.421799
1732152280966,49.666199
1732152281003,50.1054
1732152281050,50.788601
1732152281096,51.300999
1732152281136,52.020798
1732152281173,52.557598
1732152281218,52.545399
1732152281264,53.826401
1732152281302,53.5214
1732152281348,54.448601
1732152281388,54.7658
1732152281429,54.289997
