timestamp_ms,accX,accY,accZ,time_s,accZ_corrected,motion,velocity,displacement_m,displacement_cm
1732140101154,-0.19441684,0.35413775,9.7716894,0.0,-0.028310600000001074,Stationary,0.0,0.0,0.0
1732140101271,-0.19920248,0.35413775,9.776475,0.117,-0.02352500000000113,Stationary,0.0,-0.00017739438210000758,0.0
1732140101391,-0.19920248,0.35892341,9.8004036,0.237,0.00040359999999850515,Stationary,0.0,-0.0006245173341000325,0.0
1732140101518,-0.18963119,0.36370903,9.776475,0.364,-0.02352500000000113,Stationary,0.0,-0.0012790462574500793,0.0
1732140101647,-0.76570326,0.89371926,9.8004036,0.493,0.00040359999999850515,Stationary,0.0,-0.0021347730013001488,0.0
1732140101778,0.30029923,0.20279172,9.5270233,0.624,-0.27297670000000096,Lowering,-0.025232743850000787,-0.0042708557033752405,-0.42708557033752403
1732140101905,-0.010767702,-0.31106696,9.8608217,0.751,0.06082169999999998,Stationary,0.0,-0.008330876171075346,0.0
1732140102038,-0.0077766734,0.41455653,11.38505,0.884,1.585049999999999,Lifting,0.07074588169999908,-0.006200130030300463,-0.6200130030300464
1732140102163,-0.36849469,-0.30687949,9.663414,1.009,-0.1365860000000012,Stationary,0.0,0.008301167682199396,0.0
1732140102289,0.4528417,0.23748764,8.8642111,1.135,-0.9357889000000004,Lowering,0.09371526299999872,0.02436554679829926,2.436554679829926
1732140102420,0.10707881,0.2219343,9.0628157,1.266,-0.7371843000000009,Lowering,-0.015864481600001368,0.029464772979999086,2.9464772979999085
1732140102547,-0.50727838,-0.029312078,9.4660063,1.393,-0.3339937000000006,Lowering,-0.08388428460000147,0.023130726326298905,2.3130726326298907
1732140102672,-0.39361933,0.061615184,9.6622181,1.518,-0.13778190000000023,Stationary,0.0,0.010802317313798718,0.0
1732140102799,-0.36610186,0.14297116,9.7669039,1.645,-0.03309609999999985,Stationary,0.0,-0.004284728470901474,0.0
1732140102925,-0.41515473,0.22432712,9.8955183,1.771,0.09551830000000017,Stationary,0.0,-0.019688822346701648,0.0
1732140103052,-0.2955136,0.22073789,9.0993061,1.898,-0.700693900000001,Lowering,-0.15871706460000157,-0.03740567023780184,-3.7405670237801845
1732140103173,-0.27098715,0.18723837,9.0753784,2.019,-0.7246216000000008,Lowering,-0.24494865235000182,-0.06182744611327709,-6.182744611327709
1732140103302,-0.12442677,0.29312077,9.3003035,2.148,-0.49969650000000065,Lowering,-0.3239171698000019,-0.09851929164195233,-9.851929164195234
1732140103426,-0.12263216,0.33918262,10.621739,2.272,0.8217389999999991,Lifting,-0.30395053480000206,-0.13744708932715247,-13.744708932715247
1732140103549,0.2739782,0.21116661,9.9894361,2.395,0.1894361,Stationary,0.0,-0.17100848808557778,0.0
1732140103677,0.10049855,0.47078785,9.2291174,2.523,-0.5708826000000009,Lowering,-0.26617584215000206,-0.20351659101677808,-20.351659101677807
1732140103811,0.071186475,0.16869399,9.4301138,2.657,-0.36988619999999983,Lowering,-0.32920735175000204,-0.2434072650080783,-24.34072650080783
1732140103937,-0.25722843,0.41156548,9.8428755,2.783,0.04287549999999918,Stationary,0.0,-0.28618529679687854,0.0
1732140104058,-0.18544376,0.35892341,9.8051891,2.904,0.005189099999999058,Stationary,0.0,-0.3283362604725788,0.0
1732140104178,-0.18065812,0.36370903,9.8004036,3.024,0.00040359999999850515,Stationary,0.0,-0.3699442608585791,0.0
1732140104310,-0.18005991,0.36370903,9.7716894,3.156,-0.028310600000001074,Stationary,0.0,-0.4158124770831795,0.0
1732140104437,-0.46779683,0.58803618,9.7746801,3.283,-0.025319900000001283,Stationary,0.0,-0.46027647069565475,0.0
1732140104556,-0.1902294,0.2955136,10.664212,3.402,0.8642119999999984,Lifting,-0.3018988743500028,-0.49917232450033017,-49.91723245003302
1732140104685,-0.20817557,0.49710891,10.401002,3.531,0.6010019999999994,Lifting,-0.20739257135000294,-0.5320216227479806,-53.202162274798056
1732140104814,-0.69332033,0.7507481,12.979268,3.66,3.1792679999999987,Lifting,0.03643484364999694,-0.543048396184631,-54.3048396184631
1732140104949,0.088534437,0.1585245,9.7357969,3.795,-0.06420310000000029,Stationary,0.0,-0.5239366778412564,0.0
1732140105076,-0.38823548,0.73878402,8.3718882,3.922,-1.4281118,Lowering,0.1519397282499963,-0.4986229455979818,-49.86229455979818
1732140105194,-0.17347965,0.37507495,8.6075811,4.04,-1.1924188999999998,Lowering,-0.0026715830500035342,-0.48981612503118227,-48.98161250311823
1732140105320,-0.25663024,0.59940207,8.8402834,4.166,-0.9597166000000001,Lowering,-0.1382561195500039,-0.49869457029498276,-49.86945702949828
1732140105444,-0.42472601,0.75613195,9.6789675,4.29,-0.1210325000000001,Stationary,0.0,-0.5199927286595831,0.0
1732140105569,-0.26739794,0.60299128,9.7609215,4.415,-0.03907850000000046,Stationary,0.0,-0.5462759827220836,0.0
1732140105689,-0.58683974,0.59282184,9.5688982,4.535,-0.23110180000000113,Lowering,-0.23148031925000387,-0.5730809719520841,-57.308097195208404
1732140105808,-0.38644084,0.6233303,8.844471,4.654,-0.9555290000000003,Lowering,-0.30208485185000383,-0.6048280996325345,-60.482809963253445
1732140105940,-0.48634121,0.48514479,8.0715885,4.786,-1.7284115,Lowering,-0.47922492485000345,-0.6563945448947348,-65.63945448947348
1732140106059,0.2219343,0.71724856,7.9310107,4.905,-1.8689893000000009,Lowering,-0.6932702724500047,-0.7261580091340857,-72.61580091340856
1732140106187,0.73220372,0.2638087,10.926825,5.033,1.1268249999999984,Lifting,-0.7407687876500049,-0.8179365089804864,-81.79365089804864
