timestamp_ms,accX,accY,gyrZ
1732154136015,-0.08015956,0.35413775,0.0021380284
1732154136065,-0.056231331,0.35473597,0.0009162979
1732154136104,-0.08015956,0.36370903,-0.00030543262
1732154136146,-0.056231331,0.35473597,0.0009162979
1732154136193,-0.07537391,0.34935209,0.0009162979
1732154136240,-0.070588268,0.35892341,-0.0015271631
1732154136289,-0.08015956,0.36370903,-0.00030543262
1732154136326,-0.07537391,0.38285163,-0.00030543262
1732154136362,-0.070588268,0.35892341,-0.00030543262
1732154136395,-0.070588268,0.37328035,-0.00030543262
1732154136440,-0.070588268,0.36370903,0.0010690142
1732154136477,-0.089730851,0.34456646,-0.00015271631
1732154136513,-0.061016977,0.37387854,-0.00015271631
1732154136549,-0.07537391,0.35892341,-0.00015271631
1732154136597,-0.065802626,0.36370903,-0.00015271631
1732154136646,-0.051445685,0.36909288,-0.00015271631
1732154136691,-0.08015956,0.35413775,-0.00015271631
1732154136744,-0.056231331,0.34995031,-0.00015271631
1732154136787,-0.070588268,0.35892341,-0.00015271631
1732154136831,-0.056829538,0.37387854,-0.00015271631
1732154136875,-0.056231331,0.36430725,-0.00015271631
1732154136918,-0.065802626,0.36430725,-0.00015271631
1732154136953,-0.065802626,0.36370903,-0.00015271631
1732154137000,-0.070588268,0.36849469,-0.00015271631
1732154137040,-0.061016977,0.35473597,-0.00015271631
1732154137089,-0.065802626,0.34935209,-0.00015271631
1732154137135,-0.071186475,0.36849469,-0.00015271631
1732154137175,-0.065802626,0.35413775,-0.00015271631
1732154137214,-0.070588268,0.35413775,0.0010690142
1732154137260,-0.08015956,0.35892341,-0.00015271631
1732154137297,-0.070588268,0.36370903,-0.0012217305
1732154137344,-0.070588268,0.35892341,0.0010690142
1732154137388,-0.065802626,0.34456646,-0.00015271631
1732154137427,-0.065802626,0.35892341,-0.00015271631
1732154137476,-0.065802626,0.34935209,-0.00015271631
1732154137524,-0.07537391,0.34935209,-0.00015271631
1732154137568,-0.065802626,0.36370903,0.0022907446
1732154137611,-0.065802626,0.36370903,0.0010690142
1732154137664,-0.065802626,0.35892341,0.0010690142
1732154137710,-0.061615184,0.35892341,-0.00015271631
1732154137755,-0.066400826,0.37328035,-0.00015271631
1732154137801,0.058025949,0.38823548,-0.068264194
1732154137842,0.064008005,0.30687949,-0.036651913
1732154137879,0.034097724,0.36430725,-0.02687807
1732154137912,0.0059820567,0.38823548,-0.052381694
1732154137948,0.010767702,0.36909288,-0.073151112
1732154137996,0.092123672,0.32123643,-0.06093381
1732154138034,0.029910283,0.29252258,-0.051159963
1732154138084,0.00059820566,0.40259242,-0.043982297
1732154138121,0.047856454,0.40737805,-0.075594574
1732154138167,0.071186475,0.39242291,-0.07192938
1732154138208,0.11545369,0.39780676,-0.076816306
1732154138248,0.1058824,0.34037903,-0.058490347
1732154138291,0.010767702,0.30687949,-0.032986723
1732154138332,0.014955142,0.38823548,-0.04642576
1732154138370,0.072981089,0.34995031,-0.057268616
1732154138417,0.034097724,0.28295127,-0.047494773
1732154138460,-0.041874398,0.34516466,-0.040317107
1732154138501,-0.057427742,0.37806597,-0.067042463
1732154138539,-0.07537391,0.32542387,-0.064599
1732154138585,-0.12861422,0.36849469,-0.030543262
1732154138629,-0.17587246,0.27756742,0.01450805
1732154138665,-0.26261228,0.39242291,0.0059559359
1732154138712,-0.12323037,0.38763726,-0.02687807
1732154138746,-0.14715859,0.28235307,0.0047342055
1732154138785,-0.11425728,0.36849469,0.024281893
1732154138820,-0.07537391,0.4121637,0.031612277
1732154138862,-0.10887343,0.34935209,0.012064588
1732154138903,0.058624156,0.31166515,-0.004886922
1732154138943,-0.032303106,0.29730821,0.0059559359
1732154138976,-0.076570325,0.38763726,-0.014660766
1732154139015,-0.055633128,0.39780676,-0.052381694
1732154139063,-0.012562319,0.29252258,-0.0036651916
1732154139103,-0.026919255,0.40259242,0.0022907446
1732154139144,-0.16091733,0.35892341,0.0047342055
1732154139187,-0.11365908,0.35413775,-0.02687807
1732154139225,-0.10348958,0.34516466,-0.014660766
1732154139266,-0.066400826,0.41694933,-0.019547688
1732154139314,-0.0089730853,0.39302111,-0.046273042
1732154139351,0.019740786,0.36909288,-0.039095376
1732154139401,-0.028115666,0.3786642,-0.052381694
1732154139444,-0.033499517,0.34935209,-0.056046885
1732154139482,-0.022731815,0.34995031,-0.034208454
1732154139526,-0.084945202,0.35413775,-0.039095376
1732154139572,-0.061615184,0.4019942,-0.049938235
1732154139611,-0.076570325,0.39242291,-0.051159963
1732154139651,-0.090329058,0.35892341,-0.051159963
1732154139698,-0.065802626,0.3595216,-0.039095376
1732154139748,-0.070588268,0.36849469,-0.014660766
1732154139781,-0.0035892338,0.36909288,-0.02321288
1732154139817,-0.098105729,0.40259242,-0.051159963
1732154139854,-0.10109676,0.38285163,-0.080481499
1732154139907,-0.01375873,0.33020952,-0.056046885
1732154139952,-0.1058824,0.38285163,-0.02321288
1732154139990,-0.095712908,0.36849469,-0.034208454
1732154140036,-0.10887343,0.33020952,-0.021991149
1732154140078,-0.11485548,0.32542387,0.010842858
1732154140117,-0.15314065,0.34456646,0.027947085
1732154140164,-0.1477568,0.32063824,0.023060163
1732154140211,-0.14297116,0.36370903,0.0035124752
1732154140248,-0.14237295,0.33020952,0.020616703
1732154140287,-0.20937198,0.4019942,0.01817324
1732154140333,-0.022731815,0.32602209,-0.004886922
1732154140383,-0.1902294,0.37806597,0.019394971
1732154140419,-0.10468599,0.37806597,0.0022907446
1732154140466,-0.061615184,0.35892341,0.016951511
1732154140500,-0.10947163,0.36370903,0.019394971
1732154140541,-0.070588268,0.36370903,0.0047342055
1732154140587,-0.051445685,0.37387854,0.0012217305
1732154140634,-0.10468599,0.33020952,0.0047342055
1732154140671,-0.047258247,0.31106696,-0.0061086523
1732154140714,0.029910283,0.35473597,0.019394971
1732154140760,-0.12861422,0.37328035,0.0047342055
1732154140799,-0.066400826,0.35413775,0.0010690142
1732154140845,-0.085543409,0.39242291,0.0059559359
1732154140892,-0.056231331,0.40737805,0.015729779
1732154140933,-0.037686955,0.36430725,0.010842858
1732154140978,-0.0089730853,0.3786642,0.013286319
1732154141022,0.071784683,0.36909288,0.012064588
1732154141060,0.033499517,0.38344982,0.01450805
1732154141097,0.096909314,0.34037903,0.015729779
1732154141143,0.06759724,0.41694933,0.0083993971
1732154141190,0.029910283,0.34037903,-0.0036651916
1732154141230,-0.065802626,0.3595216,0.0010690142
1732154141276,-0.1052842,0.31585258,0.0083993971
1732154141317,-0.07537391,0.33020952,0.0096211275
1732154141362,-0.10947163,0.34935209,0.010842858
1732154141404,-0.1477568,0.36370903,0.0036651916
