timestamp_ms,accX,accY,accZ,time_s,corrected_accZ,smoothed_accZ,velocity_z,displacement_z
1732140101154,-0.19441684,0.35413775,9.7716894,0.0,-0.028310600000001074,-0.02065352000000118,0.0,0.0
1732140101271,-0.19920248,0.35413775,9.776475,0.117,-0.02352500000000113,-0.02065352000000118,-0.0024164618400001384,-0.00014136301764000811
1732140101391,-0.19920248,0.35892341,9.8004036,0.237,0.00040359999999850515,-0.014910680000001264,-0.004550313840000285,-0.0005593695584400335
1732140101518,-0.18963119,0.36370903,9.776475,0.364,-0.02352500000000113,-0.06384390000000124,-0.009551229670000444,-0.0014548175713250799
1732140101647,-0.76570326,0.89371926,9.8004036,0.493,0.00040359999999850515,-0.04697456000000102,-0.01669902034000059,-0.0031479586969701467
1732140101778,0.30029923,0.20279172,9.5270233,0.624,-0.27297670000000096,0.2699547199999991,-0.002093819860000715,-0.004378889730070232
1732140101905,-0.010767702,-0.31106696,9.8608217,0.751,0.06082169999999998,0.24734251999999907,0.030754554879999174,-0.00255893305630033
1732140102038,-0.0077766734,0.41455653,11.38505,0.884,1.585049999999999,0.06010401999999928,0.05119974978999907,0.0028910282042545537
1732140102163,-0.36849469,-0.30687949,9.663414,1.009,-0.1365860000000012,-0.03273750000000071,0.052910157289998976,0.009397897396754425
1732140102289,0.4528417,0.23748764,8.8642111,1.135,-0.9357889000000004,-0.11170058000000083,0.04381055824999887,0.015491302475774293
1732140102420,0.10707881,0.2219343,9.0628157,1.266,-0.7371843000000009,-0.45626696000000067,0.006608684379998772,0.01879376286803914
1732140102547,-0.50727838,-0.029312078,9.4660063,1.393,-0.3339937000000006,-0.4355689800000004,-0.0500228978100013,0.016036960315233977
1732140102672,-0.39361933,0.061615184,9.6622181,1.518,-0.13778190000000023,-0.22930754000000028,-0.09157768031000134,0.0071869241827338115
1732140102799,-0.36610186,0.14297116,9.7669039,1.645,-0.03309609999999985,-0.2220094600000003,-0.12023630981000137,-0.006263264189886361
1732140102925,-0.41515473,0.22432712,9.8955183,1.771,0.09551830000000017,-0.30013504000000035,-0.15313141331000138,-0.023485430746446517
1732140103052,-0.2955136,0.22073789,9.0993061,1.898,-0.700693900000001,-0.3725179600000004,-0.19584487881000143,-0.045645425296066695
1732140103173,-0.27098715,0.18723837,9.0753784,2.019,-0.7246216000000008,-0.20155094000000062,-0.23057604726000155,-0.07144389132330192
1732140103302,-0.12442677,0.29312077,9.3003035,2.148,-0.49969650000000065,-0.18276738000000065,-0.25536457890000164,-0.10278706171062213
1732140103426,-0.12263216,0.33918262,10.621739,2.272,0.8217389999999991,-0.15680512000000063,-0.27641807390000167,-0.13575758618422223
1732140103549,0.2739782,0.21116661,9.9894361,2.395,0.1894361,-0.08585804000000045,-0.29134185824000175,-0.1706748220108325
1732140103677,0.10049855,0.47078785,9.2291174,2.523,-0.5708826000000009,0.022656359999999508,-0.29538676576000183,-0.20822545394683278
