timestamp_ms,accX,accY,accZ,time_s,corrected_accZ,smoothed_accZ,velocity_z,displacement_z
1732140103811,0.071186475,0.16869399,9.4301138,2.657,-0.36988619999999983,-0.1406536200000005,-0.3032925821800019,-0.248336970258813
1732140103937,-0.25722843,0.41156548,9.8428755,2.783,0.04287549999999918,-0.1784601200000008,-0.32339674780000194,-0.2878183980475532
1732140104058,-0.18544376,0.35892341,9.8051891,2.904,0.005189099999999058,-0.06994572000000084,-0.338425301120002,-0.32785863200721344
1732140104178,-0.18065812,0.36370903,9.8004036,3.024,0.00040359999999850515,-0.001032460000001123,-0.34268399192000215,-0.36872518958961376
1732140104310,-0.18005991,0.36370903,9.7716894,3.156,-0.028310600000001074,0.16323483999999872,-0.3319786348400023,-0.4132529229557741
1732140104437,-0.46779683,0.58803618,9.7746801,3.283,-0.025319900000001283,0.2823974199999988,-0.3036809863300025,-0.45361730890006935
1732140104556,-0.1902294,0.2955136,10.664212,3.402,0.8642119999999984,0.9181702999999988,-0.2322472069900025,-0.4855050364026097
1732140104685,-0.20817557,0.49710891,10.401002,3.531,0.6010019999999994,0.910991799999999,-0.11426625154000265,-0.5078551544777951
1732140104814,-0.69332033,0.7507481,12.979268,3.66,3.1792679999999987,0.6304334199999992,-0.014844324850002769,-0.5161827866549504
1732140104949,0.088534437,0.1585245,9.7357969,3.795,-0.06420310000000029,0.2191072399999996,0.042499669699997064,-0.5143160508775758
1732140105076,-0.38823548,0.73878402,8.3718882,3.922,-1.4281118,-0.09303648000000031,0.05050516295999703,-0.5084102440036662
1732140105194,-0.17347965,0.37507495,8.6075811,4.04,-1.1924188999999998,-0.75309658,0.0005833124199970605,-0.5053960239562465
1732140105320,-0.25663024,0.59940207,8.8402834,4.166,-0.9597166000000001,-0.7480716600000001,-0.0939902867000032,-0.511280663335887
1732140105444,-0.42472601,0.75613195,9.6789675,4.29,-0.1210325000000001,-0.5086696600000004,-0.17190824854000303,-0.5277663725207673
1732140105569,-0.26739794,0.60299128,9.7609215,4.415,-0.03907850000000046,-0.4612916800000004,-0.23253083229000307,-0.5530438150726427
1732140105689,-0.58683974,0.59282184,9.5688982,4.535,-0.23110180000000113,-0.6150306600000004,-0.29711017269000317,-0.584822275371443
1732140105808,-0.38644084,0.6233303,8.844471,4.654,-0.9555290000000003,-0.9646220200000005,-0.3910995071500031,-0.6257707513219234
1732140105940,-0.48634121,0.48514479,8.0715885,4.786,-1.7284115,-0.7314413200000007,-0.5030396875900028,-0.6847839381747637
1732140106059,0.2219343,0.71724856,7.9310107,4.905,-1.8689893000000009,-0.23564856000000062,-0.5605815354500032,-0.7480694009456443
1732140106187,0.73220372,0.2638087,10.926825,5.033,1.1268249999999984,-0.22224886000000055,-0.5898869703300034,-0.8216993853155649
1732140106324,0.63469619,0.1902294,12.047862,5.17,2.2478619999999996,0.02504937999999939,-0.6033951347100034,-0.903439209510805
1732140106448,-0.20578274,-0.53539407,8.9114695,5.294,-0.8885304999999999,0.41041343999999924,-0.5763964398700036,-0.9765862871347653
1732140106573,-0.1788635,0.73818576,9.3080797,5.419,-0.4919203000000003,0.17555789999999938,-0.5397732311200036,-1.0463468915716407
1732140106697,-0.18544376,0.37328035,9.857831,5.543,0.05783099999999841,-0.27680530000000053,-0.5460505699200038,-1.1136679672361214
1732140106818,-0.18484555,0.37328035,9.7525473,5.664,-0.0474527000000009,-0.10093270000000061,-0.5689037189200038,-1.1811227017109416
1732140106945,-0.18544376,0.36849469,9.786046,5.791,-0.013954000000000022,-0.0043821400000005895,-0.5755912112600039,-1.2537981297773724
1732140107065,-0.1902294,0.35413775,9.7908325,5.911,-0.009167500000000217,-0.0472135600000005,-0.578686953260004,-1.3230548196485723
1732140107191,-0.19501504,0.36849469,9.7908325,6.037,-0.009167500000000217,-0.008928500000000384,-0.582223903040004,-1.396192203595473
1732140107322,-0.13160525,0.32123643,9.6436739,6.168,-0.15632610000000113,0.4162760999999996,-0.555542635240004,-1.4707159118528137
1732140107446,-0.22372891,0.24885355,9.9439726,6.292,0.14397259999999967,0.9919889999999996,-0.4682301990400043,-1.534189827578174
1732140107565,-1.5427724,0.40079778,11.912069,6.411,2.112069,0.9598053599999993,-0.35209843462000456,-1.5829993812809444
1732140107695,-0.26799613,-0.13339986,12.669397,6.541,2.8693969999999993,0.5545807399999994,-0.2536633381200041,-1.6223738965090453
1732140107830,0.81655073,0.14117654,9.6299143,6.676,-0.17008570000000134,0.33085179999999925,-0.19389664167000425,-1.6525841951448708
1732140107961,0.37268212,0.49292147,7.6175508,6.807,-2.1824492000000006,-0.12474162000000107,-0.18039642488000435,-1.6771003910038964
1732140108097,-0.47198427,0.53659046,8.8253279,6.943,-0.9746721000000012,-0.8282314200000009,-0.24519859160000412,-1.7060408521245367
1732140108227,-0.25483561,0.043070808,9.6341019,7.073,-0.1658981000000015,-0.7791784200000009,-0.34968023120000485,-1.7447079756065376
1732140108353,-0.51924253,-0.26799613,9.151948,7.199,-0.6480519999999999,-0.3920196400000009,-0.42346570898000463,-1.7934161698378779
1732140108479,-0.69690961,0.10408778,9.8751793,7.325,0.0751792999999985,-0.1911420800000009,-0.46020489734000486,-1.8490874180360386
1732140108602,-0.41156548,-0.27816564,9.5533447,7.448,-0.24665530000000047,-0.2322986600000007,-0.48624650285000504,-1.9072941791477243
1732140108728,-0.52342993,-0.21655045,9.8297157,7.574,0.02971569999999879,-0.6061771400000009,-0.5390704782500049,-1.9718891489570245
1732140108859,-0.61675006,-0.21116661,9.428319,7.705,-0.3716810000000006,-1.0526779200000007,-0.6477254846800051,-2.04962428452894
1732140108992,-0.17407785,0.070588268,7.2825556,7.838,-2.5174444000000005,-1.2971048400000007,-0.8039860382200053,-2.146163100801791
1732140109119,0.073579296,-0.28833511,7.6426754,7.965,-2.157324600000001,-0.7557287800000008,-0.9343409730900051,-2.2565468660199763
1732140109240,1.4141582,-0.24287149,8.3312101,8.086,-1.4687899000000009,-0.28051418000000083,-0.9970336721700054,-2.3733950320582076
1732140109366,1.352543,-0.7615158,12.536596,8.212,2.7365959999999987,0.262177999999999,-0.9981888515100055,-2.4990940510500477
1732140109491,1.1593226,-0.34935209,11.804392,8.337,2.0043919999999993,1.182577319999999,-0.9078916440100055,-2.618224082020048
1732140109614,1.2514462,-0.24586253,9.9960165,8.46,0.19601649999999893,1.4727071799999991,-0.7445916472600043,-2.7198518044331546
1732140109740,0.26799613,0.74955171,12.244672,8.586,2.444671999999999,0.9216400799999992,-0.5937477698800051,-2.8041671877129746
1732140109870,-0.13220344,0.31106696,9.7818594,8.716,-0.018140600000000617,0.5152191599999991,-0.5003519192800059,-2.875283667508375
1732140109995,-0.18544376,0.36370903,9.7812605,8.841,-0.018739500000000575,0.397851219999999,-0.443285020530006,-2.9342609762465006
1732140110113,-0.18544376,0.35892341,9.7722874,8.959,-0.027712600000000975,-0.09471130000000087,-0.42539976525000606,-2.9855133786075214
1732140110240,-0.2117648,0.36909288,9.4091768,9.086,-0.3908232000000016,-0.09375420000000076,-0.4373673245000062,-3.0402990888066475
1732140110365,-0.1902294,0.34456646,9.7818594,9.211,-0.018140600000000617,-0.09267732000000066,-0.44901929450000627,-3.0956982524941483
1732140110493,-0.18065812,0.35413775,9.7866449,9.339,-0.013355100000000064,-0.09279692000000068,-0.46088964586000636,-3.153932424677189
1732140110615,-0.18963119,0.32542387,9.7866449,9.461,-0.013355100000000064,-0.016346180000000387,-0.4675473749600064,-3.2105670829472097
1732140110736,-0.20937198,0.35892341,9.7716894,9.582,-0.028310600000001074,-0.015389080000000277,-0.46946735819000646,-3.2672564743027857
1732140110854,-0.15672988,0.33499518,9.7914305,9.7,-0.008569500000000119,-0.010723120000000464,-0.4710079779900065,-3.3227445191374056
1732140110983,-0.17108682,0.34456646,9.7866449,9.829,-0.013355100000000064,-0.0060571600000006495,-0.47209030605000657,-3.383574358457987
1732140111109,-0.18544376,0.33978081,9.8099747,9.955,0.009974699999999004,-0.003066060000000448,-0.47266506891000665,-3.4430939470804676
