timestamp_ms,accX,accY,accZ
1732147362126,-0.20159531,0.34097722,9.7914305
1732147362291,-0.19202402,0.33619159,9.8010015
1732147362509,-0.20638095,0.33619159,9.796216
1732147362727,-0.19202402,0.34097722,9.796216
1732147362946,-0.21116661,0.33140594,9.8057871
1732147363254,-0.21595225,0.34097722,9.796216
1732147363464,-0.22073789,0.35533416,9.8010015
1732147363624,-0.19680966,0.33140594,9.796216
1732147363820,-0.20638095,0.33619159,9.7914305
1732147364003,-0.20638095,0.33619159,9.8105726
1732147364210,-0.21116661,0.33140594,9.7818594
1732147364402,-0.20159531,0.33140594,9.796216
1732147364599,-0.20159531,0.33619159,9.7866449
1732147364841,-0.20638095,0.32662028,9.796216
1732147364982,-0.20638095,0.33619159,9.8010015
1732147365284,-0.21116661,0.34576288,9.7866449
1732147365443,-0.19680966,0.33619159,9.7866449
1732147365603,-0.18723837,0.34097722,9.796216
1732147365829,-0.20159531,0.33140594,9.8057871
1732147366089,-0.20638095,0.33140594,9.7866449
1732147366308,-0.20159531,0.33140594,9.7866449
1732147366450,-0.20638095,0.33619159,9.8057871
1732147366579,-0.21595225,0.35054851,9.8057871
1732147366743,-0.20638095,0.33140594,9.7914305
1732147366857,-0.20638095,0.33140594,9.796216
1732147367078,-0.20159531,0.34576288,9.7866449
1732147367230,-0.20638095,0.33140594,9.796216
1732147367348,-0.20159531,0.34576288,9.8057871
1732147367528,-0.22073789,0.34097722,9.7914305
1732147367675,-0.21595225,0.36490545,9.8249302
1732147367837,-0.20638095,0.30747771,9.8440723
1732147367991,-0.20817557,0.41694933,10.082158
1732147368124,-0.31166515,0.465404,9.775877
1732147368319,-0.17228323,0.2213361,9.796814
1732147368435,-0.25363919,0.20697916,9.734601
1732147368559,-0.21535404,0.17347965,9.7728863
1732147368713,-0.14356937,0.025124637,9.88834
1732147368892,0.035294134,-0.33858439,9.7950191
1732147369043,-0.26799613,0.2105684,10.573883
1732147369250,-0.019142581,0.36550367,9.7016993
1732147369352,-0.20757736,0.4953143,9.1082792
1732147369444,-0.25603202,0.49471608,9.2135639
1732147369594,-0.46839502,0.48454657,9.5796652
1732147369747,-0.51266223,0.27816564,9.7998047
1732147369892,-0.27218357,0.025124637,9.7728863
1732147370084,-0.26081768,-0.18544376,9.5832548
